store_address,latitude,longitude
"Subway at 3705 Falls Rd,",39.3321,-76.6355
"Subway at 1520 West North Ave., Mini Mart C-Store",39.3104,-76.6421
"Subway at 2401 Liberty Heights Ave, Suite 3675, Mondawmin Mall",39.3169,-76.6536
"Subway at 2500 W North Ave, Coppin State University",39.3109,-76.6585
"Subway at 503 W Cold Spring Lane,",39.3444,-76.6313
"Subway at 1251 W Pratt St, Mount Clair Junction SC",39.2838,-76.6372
"Subway at 1800 Washington Blvd, Montgomery Park Business Ctr",39.2758,-76.6438
"Subway at 1800 Russell St, Exxon Tiger Mart",39.2722,-76.6308
"Subway at 845 E Fort Ave, Space #5, Southside Marketplace",39.2712,-76.6028
"Subway at 2801 Edmondson Ave, Carroll Citgo Gas/C-Store",39.294,-76.6636
"Subway at 3860 E Lombard Street, Highlandtown Village Shopping",39.2921,-76.5635
"Subway at 3515 Eastern Avenue,",39.2866,-76.5675
"Subway at 2407 Frederick Ave, Westside Shopping Center",39.2817,-76.655
"Subway at 2623 Washington Blvd,",39.2651,-76.6542
"Subway at 900 Caton Ave, St Agnes Hospital",39.2724,-76.6721
"Subway at 2401 West Belvedere Avenue, Sinai Hospital of Baltimore",39.3528,-76.6616
"Subway at 2149 W Patapsco Ave, Hollinswood Plaza Shopping Ctr",39.2501,-76.6458
"Subway at 4628 Wilkens Ave, Wilkens Beltway Plaza",39.2663,-76.6993
"Subway at 3601 Dolfield Ave., BP Gas Station/C-Store",39.3361,-76.676
"Subway at 5417 Reisterstown Rd, Suite C",39.347,-76.6887
"Subway at 5520 Reisterstown Rd, C-Store",39.3483,-76.6918
"Subway at 4600-D Northern Parkway, Northwest Plaza Shopping Ctr.",39.3462,-76.6986
"Subway at 528 East Belvedere Street, Belvedere Square",39.3645,-76.6086
"Subway at 6350 York Rd, #15, York Road Plaza",39.3734,-76.6112
"Subway at 4584 Edmondson Ave, Edmondson Village Shopping Ctr",39.2942,-76.6936
"Subway at 5311 Baltimore National Pike, Catonsville Plaza",39.2901,-76.7167
"Subway at 5209 Windsor Mill Road, Eberhart Center",39.3101,-76.7081
"Subway at 3601 Washington Blvd., Wal-Mart #3720",39.2483,-76.6682
"Subway at 3107 Hammons Ferry Road, Carroll Fuels Gas/C-Store",39.2373,-76.6624
"Subway at 1407 Sulphur Spring Rd, Ste G",39.2474,-76.6924
"Subway at 15480 Annapolis Rd, Ste 212, Free State Shopping Ctr",38.9802,-76.7341
"Subway at 6928 Laurel Bowie Rd, Unit 15, Bowie Plaza Shopping Ctr",38.9854,-76.7588
"Subway at 2211 Defense Hwy, Priest Bridge Shopping Center",38.9916,-76.7022
"Subway at 6021 High Bridge Road, Subway/Citgo C-Store",38.972,-76.7737
"Subway at 16501 Ballpark Rd, Ball Park Mobil",38.9449,-76.717
"Subway at 5548 Norbeck Road, Rock Creek Village Center",39.0951,-77.1125
"Subway at 1298 East Gude Drive, Liberty Gas Station/C-Store",39.098,-77.1371
"Subway at 3806 International Drive, Leisure World Plaza",39.1033,-77.0755
"Subway at 1402 Rockville Pike,",39.0671,-77.1289
"Subway at 5751-C Fishers Lane, Twinbrook Station",39.0626,-77.1174
"Subway at 12335 Georgia Ave,",39.0606,-77.0487
"Subway at 11331 Georgia Ave,",39.0414,-77.0516
"Subway at 11160 Veirs Mill Rd, FC8, Westfield Wheaton",39.0366,-77.0553
"Subway at 13651 Georgia Avenue, Aspen Manor Shopping Center",39.0801,-77.0724
"Subway at 14450 Layhill Rd, Layhill Shopping Center",39.0927,-77.0457
"Subway at 45 Randolph Rd, New Hampshire & Randolph Cross",39.0764,-77.004
"Subway at 1776 East Jefferson St., Unit #0113, Federal Plaza",39.0573,-77.1252
"Subway at 5286 Randolph Road, Loehman's Plaza Shopping Ctr",39.0527,-77.1046
"Subway at 5210 Nicholson Lane, Store No. 13B, White Flint Plaza",39.0434,-77.106
"Subway at 15106 Frederick Rd, #19, College Plaza Shopping Center",39.1033,-77.1567
"Subway at 2 North Washington Street, Courthouse Center",39.0849,-77.1531
"Subway at 10400 Old Georgetown Rd, Space 3-A, Georgetown Square Shopping Cen",39.0259,-77.127
"Subway at 18137 Towne Center Road, Olney Town Center",39.1522,-77.0619
"Subway at 7216 Muncaster Mill Rd., Bay 6, Red Mill Shopping Center",39.1448,-77.1461
"Subway at 728 Cloverly Street, Cloverly Towne Center",39.1092,-76.9951
"Subway at 15906-B Shady Grove Road,",39.1179,-77.1836
"Subway at 16817 Crabbs Branch Hwy, The Grove Shopping Center",39.1315,-77.168
"Subway at 13869 Outlet Dr, Briggs Chaney Market Place",39.0828,-76.9472
"Subway at 15500-B Old Columbia Pike, Burtonsville S/C",39.1094,-76.9356
"Subway at 11211 New Hampshire Ave,",39.0408,-76.9899
"Subway at 7825 Tuckerman Lane, Cabin John Shopping Center",39.0406,-77.1555
"Subway at 108 Olde Towne Ave Suite #5,",39.141,-77.1946
"Subway at 18238 Flower Hill Way, Store #03, Flower Hill Shopping Center",39.1548,-77.1654
"Subway at 9613-F Medical Center Dr., Parking Garage, National Cancer Institute",39.1053,-77.1966
"Subway at 19210 Montgomery Village Ave, Montgomery Village Shopping Cr",39.171,-77.2043
"Subway at 876 Muddy Branch Rd, Muddy Branch Square",39.1151,-77.2176
"Subway at 11462 Cherry Hill Rd, Maryland Farms Center",39.0448,-76.9528
"Subway at 8901 Wisconsin Ave, Bldg #2, Naval Medical Center Staff Onl",39.0018,-77.0944
"Subway at 8901 Wisconsin Ave, Nat'l Naval Med Center Bldg 82, Navy Exchange Staff Only",39.0018,-77.0944
"Subway at 7201 Wisconsin Ave, Bethesda Gateway",38.9818,-77.0927
"Subway at 5616 Connecticut Ave NW,",38.9655,-77.0763
"Subway at 6 Bureau Dr, B-10, Diamond Square",39.1417,-77.2178
"Subway at 853 Russell Avenue, Talbot Shopping Center",39.1562,-77.2114
"Subway at 12193 Darnstown Rd,",39.1174,-77.2525
"Subway at 5300 Wisconsin Ave, Space #7, Mazza Gallerie",38.9597,-77.0857
"Subway at 8305 Ice Crystal Drive, Ste 3, Cherry Tree Crossing",39.1444,-76.8982
"Subway at 7407 Van Dusen Road, Laurel Park Shopping Center",39.0868,-76.8775
"Subway at 9136 Rothbury Drive, Space 14, Goshen Plaza",39.1847,-77.1892
"Subway at 19911 B Frederick Rd,",39.1826,-77.2381
"Subway at 11033 Baltimore Ave,",39.0342,-76.9076
"Subway at 13380 Clarksville Pike, Unit B, Highland Crossing Village Ctr",39.1797,-76.9573
"Subway at 6030 Daybreak Cir A450, River Hill Village Ctr",39.2107,-76.9353
"Subway at 7500 Montpelier Rd, Ste 110, Montpelier Retail Center",39.1606,-76.8922
"Subway at 6420 Freetown Rd, Ste 100, Hickory Ridge S/C",39.1951,-76.8838
"Subway at 18010 Mateny Rd, Clopper's Mill Shopping Center",39.1482,-77.275
"Subway at 4441 Wisconsin Ave, Suite A",38.9477,-77.0791
"Subway at 4401 Connecticut Ave NW, Suite A",38.9458,-77.0639
"Subway at 4400 Massachusetts Avenue, NW, Butler Pavilion #155, American University",38.9372,-77.0892
"Subway at 9500 MacArthur Blvd, Bldg. 40, Carderock, Naval Support Facility Staff o",38.9749,-77.1929
"Subway at 6829 Elm St, Ste 150",38.9355,-77.1798
"Subway at 7925 Jones Branch Drive, Suite LL-260, Westpark Business Campus",38.9304,-77.218
"Subway at 8270 Greensboro Dr, Ste #120, Subway/Office",38.925,-77.232
"Subway at 8605 Westwood Center Drive, Suite 140",38.9289,-77.2451
"Subway at 2332 Mountain Rd, Pasadena Ctr",39.1295,-76.549
"Subway at 4165 Mountain Rd, Lake Shore Plaza",39.1197,-76.5139
"Subway at 8107 Governor Ritchey Hwy, Wal-Mart #5382",39.1264,-76.5871
