latitude,longitude
36.230000000000004,-84.16
36.01,-80.44
40.74,-114.06
42.980000000000004,-88.11
34.19,-101.75
36.84,-76.10000000000001
43.37,-72.33
40.410000000000004,-79.91
37.62,-90.65
26.21,-80.11
33.17,-96.5
40.300000000000004,-79.51
29.69,-95.46000000000001
33.9,-118.15
37.980000000000004,-87.49
35.88,-84.51
33.87,-117.92
40.09,-104.98
33.2,-87.48
39.15,-76.91
43.11,-75.22
40.59,-111.93
29.35,-98.43
33.9,-84.3
33.56,-97.85000000000001
36.18,-94.22
29.36,-98.55
41.4,-75.42
28.7,-81.33
42.0,-87.68
47.62,-122.13
38.95,-76.72
33.730000000000004,-84.67
38.22,-85.68
38.980000000000004,-76.29
44.910000000000004,-93.08
29.51,-98.37
35.82,-83.98
33.96,-118.19
40.34,-75.95
38.87,-77.23
47.72,-122.21000000000001
29.53,-95.86
33.92,-118.07000000000001
38.69,-90.36
27.89,-82.79
28.03,-82.42
33.8,-83.74
37.52,-120.85000000000001
33.97,-85.94
31.88,-85.15
29.53,-95.52
40.18,-76.99
43.09,-88.76
35.36,-79.9
38.84,-91.95
38.49,-76.77
31.560000000000002,-91.35000000000001
42.92,-78.83
36.35,-92.37
39.88,-104.94
38.31,-77.48
28.44,-81.48
26.09,-97.16
38.89,-77.24
35.050000000000004,-89.69
39.56,-104.91
39.39,-89.08
36.74,-119.72
41.61,-70.94
35.03,-79.06
27.59,-80.38
42.02,-97.43
26.94,-80.08
38.03,-78.48
41.5,-93.68
38.64,-76.9
